        x           yn          zn          ∫yn² 
1.673346624e+00 -2.836720392e+02 1.504301440e+02 1.394009786e+15
1.693386704e+00 -2.805538724e+02 1.628532870e+02 1.480453168e+15
1.713426784e+00 -2.771850633e+02 1.754760447e+02 1.571314286e+15
1.733466864e+00 -2.735617409e+02 1.882828142e+02 1.666731674e+15
1.753506944e+00 -2.696803570e+02 2.012567255e+02 1.766839807e+15
1.773547024e+00 -2.655377126e+02 2.143796192e+02 1.871768051e+15
1.793587103e+00 -2.611309833e+02 2.276320238e+02 1.981639532e+15
1.813627183e+00 -2.564577462e+02 2.409931371e+02 2.096569927e+15
1.833667263e+00 -2.515160062e+02 2.544408122e+02 2.216666166e+15
1.853707343e+00 -2.463042237e+02 2.679515451e+02 2.342025057e+15
1.873747423e+00 -2.408213413e+02 2.815004686e+02 2.472731827e+15
1.893787503e+00 -2.350668113e+02 2.950613498e+02 2.608858583e+15
1.913827583e+00 -2.290406233e+02 3.086065917e+02 2.750462697e+15
1.933867663e+00 -2.227433311e+02 3.221072407e+02 2.897585114e+15
1.953907743e+00 -2.161760800e+02 3.355330001e+02 3.050248597e+15
1.973947823e+00 -2.093406337e+02 3.488522473e+02 3.208455899e+15
1.993987903e+00 -2.022394004e+02 3.620320595e+02 3.372187888e+15
2.014027983e+00 -1.949235993e+02 3.670316649e+02 3.543097983e+15
2.034068063e+00 -1.875408447e+02 3.702996612e+02 3.726591006e+15
2.054108143e+00 -1.800936522e+02 3.734414397e+02 3.923514011e+15
2.074148223e+00 -1.725845600e+02 3.764559207e+02 4.134776086e+15
2.094188303e+00 -1.650161280e+02 3.793420681e+02 4.361352673e+15
2.114228383e+00 -1.573909363e+02 3.820988893e+02 4.604290093e+15
2.134268463e+00 -1.497115847e+02 3.847254359e+02 4.864710412e+15
2.154308543e+00 -1.419806913e+02 3.872208039e+02 5.143816640e+15
2.174348623e+00 -1.342008923e+02 3.895841340e+02 5.442898331e+15
2.194388703e+00 -1.263748405e+02 3.918146120e+02 5.763337563e+15
2.214428782e+00 -1.185052047e+02 3.939114689e+02 6.106615365e+15
2.234468862e+00 -1.105946689e+02 3.958739815e+02 6.474318597e+15
2.254508942e+00 -1.026459311e+02 3.977014720e+02 6.868147326e+15
2.274549022e+00 -9.466170225e+01 3.993933090e+02 7.289922731e+15
2.294589102e+00 -8.664470595e+01 4.009489073e+02 7.741595567e+15
2.314629182e+00 -7.859767695e+01 4.023677282e+02 8.225255238e+15
2.334669262e+00 -7.052336042e+01 4.036492794e+02 8.743139514e+15
